adhesome_gene,corr,tissue,study
ITGA10,0.104958317,Cervix,GTEx
HAX1,-0.164485389,Cervix,GTEx
SHC1,0.643384326,Cervix,GTEx
ARHGEF2,0.185142987,Cervix,GTEx
CSRP1,0.386043148,Cervix,GTEx
PTPN14,0.408852271,Cervix,GTEx
CAPN2,-0.384542891,Cervix,GTEx
ENAH,0.323239933,Cervix,GTEx
ARF1,0.311679476,Cervix,GTEx
RHOU,0.421019608,Cervix,GTEx
ACP1,0.326897053,Cervix,GTEx
ASAP2,0.53515849,Cervix,GTEx
ITGB1BP1,0.036933735,Cervix,GTEx
SDC1,-0.121474033,Cervix,GTEx
SOS1,0.377956854,Cervix,GTEx
SPTBN1,0.267577279,Cervix,GTEx
CTNNA2,0.450388828,Cervix,GTEx
FHL2,0.511623967,Cervix,GTEx
NCK2,0.077344869,Cervix,GTEx
LIMS1,0.424547043,Cervix,GTEx
ACTR3,-0.041911517,Cervix,GTEx
LIMS2,0.510458771,Cervix,GTEx
PKP4,0.196806552,Cervix,GTEx
ITGB6,-0.05061223,Cervix,GTEx
ITGA6,0.539897102,Cervix,GTEx
ITGA4,0.226145458,Cervix,GTEx
ITGAV,0.235389723,Cervix,GTEx
CASP8,0.140097161,Cervix,GTEx
ABI2,-0.068798255,Cervix,GTEx
NRP2,0.623035479,Cervix,GTEx
TNS1,0.490512638,Cervix,GTEx
ARPC2,0.196509119,Cervix,GTEx
IRS1,0.389924901,Cervix,GTEx
INPP5D,0.193834544,Cervix,GTEx
ILKAP,0.008940736,Cervix,GTEx
ANKRD28,-0.146292021,Cervix,GTEx
ITGA9,0.495746184,Cervix,GTEx
CTNNB1,0.694612886,Cervix,GTEx
RHOA,0.197093292,Cervix,GTEx
PPM1M,-0.163851176,Cervix,GTEx
NISCH,0.073771186,Cervix,GTEx
PRKCD,-0.468481057,Cervix,GTEx
FLNB,0.311800064,Cervix,GTEx
MAGI1,-0.007851441,Cervix,GTEx
CD47,-0.34800178,Cervix,GTEx
ITGB5,-0.126320877,Cervix,GTEx
HEG1,0.509728572,Cervix,GTEx
PLD1,-0.515242042,Cervix,GTEx
ECT2,0.041826453,Cervix,GTEx
PIK3CA,0.022078185,Cervix,GTEx
LPP,0.364500492,Cervix,GTEx
DLG1,-0.376270412,Cervix,GTEx
ADD1,0.412014191,Cervix,GTEx
SHROOM3,-0.100668492,Cervix,GTEx
ARHGAP24,0.449786458,Cervix,GTEx
GAB1,-0.04745749,Cervix,GTEx
RAPGEF2,0.598716482,Cervix,GTEx
PALLD,0.581123127,Cervix,GTEx
CASP3,0.326615098,Cervix,GTEx
SORBS2,0.304231764,Cervix,GTEx
FAT1,0.309492639,Cervix,GTEx
EXOC3,0.282311982,Cervix,GTEx
CTNND2,0.2393017,Cervix,GTEx
TRIO,0.396734201,Cervix,GTEx
CDH18,-0.447040233,Cervix,GTEx
CDH12,0.00943486,Cervix,GTEx
CDH10,0.531775004,Cervix,GTEx
CDH9,-0.779433367,Cervix,GTEx
CDH6,0.048091628,Cervix,GTEx
PDZD2,0.233497393,Cervix,GTEx
ITGA1,0.388415725,Cervix,GTEx
ITGA2,0.307268179,Cervix,GTEx
PDE4D,0.40180609,Cervix,GTEx
RASA1,0.369457974,Cervix,GTEx
FER,0.206007363,Cervix,GTEx
PPP2CA,0.127109155,Cervix,GTEx
CTNNA1,0.157167995,Cervix,GTEx
DIAPH1,-0.443779647,Cervix,GTEx
ARHGAP26,0.146554074,Cervix,GTEx
DBN1,0.617736093,Cervix,GTEx
NEDD9,0.231268538,Cervix,GTEx
RNF5,0.060847166,Cervix,GTEx
DEF6,0.183434276,Cervix,GTEx
CD2AP,-0.148549484,Cervix,GTEx
MYO6,-0.107515053,Cervix,GTEx
FYN,0.177569589,Cervix,GTEx
MARCKS,-0.130569777,Cervix,GTEx
PTPRK,0.197433378,Cervix,GTEx
EZR,0.225049013,Cervix,GTEx
GNA12,0.522819329,Cervix,GTEx
ACTB,0.377298971,Cervix,GTEx
FSCN1,0.360275661,Cervix,GTEx
RAC1,-0.303401384,Cervix,GTEx
ITGB8,-0.311076528,Cervix,GTEx
ELMO1,-0.081781197,Cervix,GTEx
EGFR,-0.404549841,Cervix,GTEx
LIMK1,-0.095418367,Cervix,GTEx
HSPB1,0.213496823,Cervix,GTEx
PTPN12,-0.130931367,Cervix,GTEx
KRIT1,0.344263653,Cervix,GTEx
TRIP6,0.37949219,Cervix,GTEx
CBLL1,0.543774576,Cervix,GTEx
TES,0.135331003,Cervix,GTEx
CAV1,0.195517099,Cervix,GTEx
MET,0.225804385,Cervix,GTEx
WASL,-0.230430269,Cervix,GTEx
ZYX,0.539895964,Cervix,GTEx
KCNH2,0.629741155,Cervix,GTEx
DLC1,0.221177639,Cervix,GTEx
SORBS3,-0.180789902,Cervix,GTEx
PTK2B,0.358473897,Cervix,GTEx
ADAM9,-0.181347445,Cervix,GTEx
LYN,0.273041261,Cervix,GTEx
SDCBP,0.284534101,Cervix,GTEx
PABPC1,-0.660805522,Cervix,GTEx
PTK2,0.139229266,Cervix,GTEx
SCRIB,0.487509467,Cervix,GTEx
PLEC,0.653612835,Cervix,GTEx
SHARPIN,0.166547037,Cervix,GTEx
TESK1,0.315703393,Cervix,GTEx
TLN1,0.465538574,Cervix,GTEx
TJP2,-0.039198989,Cervix,GTEx
OSTF1,-0.065786172,Cervix,GTEx
SYK,0.18123508,Cervix,GTEx
SPTLC1,0.185546188,Cervix,GTEx
CORO2A,0.220512838,Cervix,GTEx
ENG,0.606221193,Cervix,GTEx
ABL1,0.464208493,Cervix,GTEx
RAPGEF1,0.630965056,Cervix,GTEx
VAV2,0.544995331,Cervix,GTEx
ITGA8,0.549590051,Cervix,GTEx
VIM,-0.121950801,Cervix,GTEx
ARHGAP21,0.094067992,Cervix,GTEx
ABI1,-0.456816568,Cervix,GTEx
MPP7,0.107297043,Cervix,GTEx
SVIL,0.331346792,Cervix,GTEx
ARHGAP12,-0.083324562,Cervix,GTEx
ITGB1,0.55332802,Cervix,GTEx
NRP1,0.550307216,Cervix,GTEx
PARD3,-0.322897667,Cervix,GTEx
MAPK8,0.228297208,Cervix,GTEx
ANK3,0.186127582,Cervix,GTEx
CTNNA3,0.329535515,Cervix,GTEx
VCL,0.515250067,Cervix,GTEx
DLG5,0.502374102,Cervix,GTEx
LDB3,0.146729793,Cervix,GTEx
PTEN,0.062069571,Cervix,GTEx
SORBS1,0.329973573,Cervix,GTEx
ADAM12,0.065042244,Cervix,GTEx
DOCK1,0.346112953,Cervix,GTEx
HRAS,-0.470955937,Cervix,GTEx
CD151,0.389205082,Cervix,GTEx
ILK,0.472155811,Cervix,GTEx
PARVA,0.427949918,Cervix,GTEx
PLEKHA7,0.091046637,Cervix,GTEx
PTPRJ,0.292297913,Cervix,GTEx
CTNND1,0.50698326,Cervix,GTEx
LPXN,0.012815235,Cervix,GTEx
SLC3A2,0.182561474,Cervix,GTEx
FERMT3,0.515935295,Cervix,GTEx
CAPN1,0.042612225,Cervix,GTEx
CFL1,0.452024308,Cervix,GTEx
CORO1B,0.580248387,Cervix,GTEx
PPFIA1,0.32922639,Cervix,GTEx
CTTN,0.136093391,Cervix,GTEx
INPPL1,0.022728374,Cervix,GTEx
MYO7A,0.283352069,Cervix,GTEx
PAK1,-0.058970507,Cervix,GTEx
RDX,0.47240919,Cervix,GTEx
LAYN,-0.272106729,Cervix,GTEx
CBL,0.441020988,Cervix,GTEx
THY1,0.377335419,Cervix,GTEx
ARHGEF12,0.09919958,Cervix,GTEx
ARHGAP32,-0.484915887,Cervix,GTEx
PTPN6,-0.039555677,Cervix,GTEx
PTPRO,0.466185392,Cervix,GTEx
TUBA1B,0.493428024,Cervix,GTEx
RACGAP1,0.171090235,Cervix,GTEx
LIMA1,-0.019831514,Cervix,GTEx
ITGB7,0.309557674,Cervix,GTEx
ITGA5,0.346378846,Cervix,GTEx
ITGA7,0.018280405,Cervix,GTEx
LRP1,0.218393085,Cervix,GTEx
AGAP2,0.243325513,Cervix,GTEx
LIN7A,0.000458204,Cervix,GTEx
VEZT,-0.122628573,Cervix,GTEx
SSH1,0.626166498,Cervix,GTEx
TRPV4,-0.111822616,Cervix,GTEx
GIT2,0.36355377,Cervix,GTEx
PTPN11,0.181845348,Cervix,GTEx
PXN,-0.004153687,Cervix,GTEx
CLIP1,0.10424606,Cervix,GTEx
STARD13,0.43535956,Cervix,GTEx
TRPC4,0.559796592,Cervix,GTEx
LMO7,-0.10349855,Cervix,GTEx
ARHGEF7,-0.001519852,Cervix,GTEx
MMP14,0.021435308,Cervix,GTEx
CDH24,0.347862018,Cervix,GTEx
PRKD1,0.53914572,Cervix,GTEx
ARHGAP5,-0.474854587,Cervix,GTEx
ARF6,0.268001879,Cervix,GTEx
FERMT2,0.489012373,Cervix,GTEx
KTN1,0.043274403,Cervix,GTEx
AKAP5,0.628557274,Cervix,GTEx
HSPA2,0.276579905,Cervix,GTEx
ACTN1,0.526539723,Cervix,GTEx
PSEN1,0.490559984,Cervix,GTEx
NUMB,0.098691859,Cervix,GTEx
DYNC1H1,0.6219948,Cervix,GTEx
ZFYVE21,0.344213461,Cervix,GTEx
AKT1,0.160769624,Cervix,GTEx
TJP1,0.45640573,Cervix,GTEx
TRPM7,0.013750745,Cervix,GTEx
CGNL1,-0.358410647,Cervix,GTEx
ADAM10,0.370135687,Cervix,GTEx
ITGA11,0.361817362,Cervix,GTEx
CSK,0.104360886,Cervix,GTEx
PEAK1,0.235254149,Cervix,GTEx
CIB2,0.106012866,Cervix,GTEx
CIB1,-0.285169216,Cervix,GTEx
IQGAP1,0.410532077,Cervix,GTEx
SYNM,0.272435881,Cervix,GTEx
MAPK8IP3,-0.034639945,Cervix,GTEx
PKD1,0.543149445,Cervix,GTEx
PDPK1,0.308264875,Cervix,GTEx
NUDT16L1,0.447111594,Cervix,GTEx
SH2B1,0.274955539,Cervix,GTEx
ITGAL,0.22762006,Cervix,GTEx
ITGAM,0.611923893,Cervix,GTEx
ITGAX,-0.110101561,Cervix,GTEx
ITGAD,0.450700203,Cervix,GTEx
TGFB1I1,0.541402933,Cervix,GTEx
CDH8,0.203055218,Cervix,GTEx
CDH11,0.397643023,Cervix,GTEx
CDH5,0.696921031,Cervix,GTEx
CDH3,0.212295765,Cervix,GTEx
CDH1,0.171619927,Cervix,GTEx
BCAR1,0.651988953,Cervix,GTEx
CDH15,0.2780853,Cervix,GTEx
CRK,0.561010205,Cervix,GTEx
ITGAE,-0.02548453,Cervix,GTEx
PFN1,0.397795812,Cervix,GTEx
NDEL1,-0.655287466,Cervix,GTEx
MYH10,0.602380564,Cervix,GTEx
GIT1,0.575817679,Cervix,GTEx
SRCIN1,0.041400869,Cervix,GTEx
LASP1,0.418441474,Cervix,GTEx
GRB7,-0.213372996,Cervix,GTEx
WIPF2,0.262810693,Cervix,GTEx
JUP,0.307033758,Cervix,GTEx
STAT3,0.469071709,Cervix,GTEx
ITGB3,0.559917329,Cervix,GTEx
ABI3,0.598528755,Cervix,GTEx
ITGA3,0.112541794,Cervix,GTEx
NME1,0.118770804,Cervix,GTEx
PRKCA,0.297046021,Cervix,GTEx
GRB2,0.596164352,Cervix,GTEx
ITGB4,0.086243777,Cervix,GTEx
SLC16A3,0.220392304,Cervix,GTEx
MYOM1,0.211994523,Cervix,GTEx
PTPRM,0.377959364,Cervix,GTEx
PTPN2,-0.101655718,Cervix,GTEx
ROCK1,0.44145813,Cervix,GTEx
CDH2,0.309685812,Cervix,GTEx
CDH20,0.083869735,Cervix,GTEx
CDH7,-0.003227761,Cervix,GTEx
CDH19,0.541188252,Cervix,GTEx
PIP5K1C,0.527408504,Cervix,GTEx
VAV1,0.266598057,Cervix,GTEx
INSR,0.024273723,Cervix,GTEx
RAVER1,0.687524089,Cervix,GTEx
KEAP1,0.542118798,Cervix,GTEx
DNM2,-0.101783605,Cervix,GTEx
CALR,0.297006187,Cervix,GTEx
PRKACA,0.28649435,Cervix,GTEx
SIPA1L3,0.252783062,Cervix,GTEx
ACTN4,0.099832513,Cervix,GTEx
CEACAM1,-0.020131454,Cervix,GTEx
PLAUR,0.086707134,Cervix,GTEx
PVR,0.36078506,Cervix,GTEx
VASP,0.52195503,Cervix,GTEx
ARHGAP35,0.501184965,Cervix,GTEx
CYTH2,-0.094427098,Cervix,GTEx
PTPRH,0.112711671,Cervix,GTEx
CSNK2A1,0.492503819,Cervix,GTEx
SIRPA,0.194442295,Cervix,GTEx
PTPRA,0.035826523,Cervix,GTEx
PRNP,-0.114124528,Cervix,GTEx
FERMT1,-0.054266525,Cervix,GTEx
SRC,0.135731803,Cervix,GTEx
PLCG1,0.081361417,Cervix,GTEx
PTPRT,-0.058831907,Cervix,GTEx
SDC4,-0.223067544,Cervix,GTEx
CDH22,0.394030901,Cervix,GTEx
PTPN1,-0.147905865,Cervix,GTEx
CASS4,0.333616108,Cervix,GTEx
CDH4,0.572224813,Cervix,GTEx
TIAM1,0.021377613,Cervix,GTEx
ITGB2,0.436433292,Cervix,GTEx
ARVCF,0.473293663,Cervix,GTEx
CRKL,0.340807327,Cervix,GTEx
MAPK1,0.275986162,Cervix,GTEx
PPM1F,0.447657274,Cervix,GTEx
NF2,0.637251055,Cervix,GTEx
RNF185,0.000486644,Cervix,GTEx
MYH9,0.553968414,Cervix,GTEx
SH3BP1,0.145084739,Cervix,GTEx
TRIOBP,0.317966854,Cervix,GTEx
CSNK1E,-0.085476594,Cervix,GTEx
PARVB,-0.211279783,Cervix,GTEx
SH3KBP1,0.326779892,Cervix,GTEx
SMPX,0.260099903,Cervix,GTEx
MSN,0.405863265,Cervix,GTEx
ARHGEF6,0.258372161,Cervix,GTEx
FLNA,0.478678781,Cervix,GTEx
AJAP1,0.425513962,Bladder,GTEx
FBLIM1,-0.061400205,Bladder,GTEx
CDC42,0.788853548,Bladder,GTEx
ASAP3,0.564599162,Bladder,GTEx
SLC9A1,0.441306478,Bladder,GTEx
WASF2,-0.044734696,Bladder,GTEx
EPB41,0.740632865,Bladder,GTEx
PTPRU,0.52131806,Bladder,GTEx
FABP3,-0.710190941,Bladder,GTEx
MACF1,-0.057787752,Bladder,GTEx
PTPRF,0.890487701,Bladder,GTEx
TSPAN1,0.597715599,Bladder,GTEx
ITGB3BP,0.128987105,Bladder,GTEx
NEXN,-0.196373732,Bladder,GTEx
SSX2IP,0.214706137,Bladder,GTEx
BCAR3,0.118531453,Bladder,GTEx
VAV3,0.240203037,Bladder,GTEx
RAP1A,-0.18440228,Bladder,GTEx
CAPZA1,0.423839602,Bladder,GTEx
ITGA10,0.275384405,Bladder,GTEx
HAX1,-0.090413478,Bladder,GTEx
SHC1,-0.349779268,Bladder,GTEx
ARHGEF2,0.139561965,Bladder,GTEx
CSRP1,-0.313343936,Bladder,GTEx
PTPN14,0.11920016,Bladder,GTEx
CAPN2,0.463027292,Bladder,GTEx
ENAH,-0.527949569,Bladder,GTEx
ARF1,0.259752383,Bladder,GTEx
RHOU,0.187829045,Bladder,GTEx
ACP1,0.52908311,Bladder,GTEx
ASAP2,0.806406352,Bladder,GTEx
ITGB1BP1,0.303877853,Bladder,GTEx
SDC1,0.539361559,Bladder,GTEx
SOS1,0.532356665,Bladder,GTEx
SPTBN1,0.628019037,Bladder,GTEx
CTNNA2,-0.09516337,Bladder,GTEx
FHL2,0.661892281,Bladder,GTEx
NCK2,0.165209881,Bladder,GTEx
LIMS1,0.631509488,Bladder,GTEx
ACTR3,-0.330938281,Bladder,GTEx
LIMS2,-0.354313306,Bladder,GTEx
PKP4,0.512055611,Bladder,GTEx
ITGB6,0.504152576,Bladder,GTEx
ITGA6,0.517397943,Bladder,GTEx
ITGA4,0.289233298,Bladder,GTEx
ITGAV,0.588173634,Bladder,GTEx
CASP8,0.474567116,Bladder,GTEx
ABI2,0.177151568,Bladder,GTEx
NRP2,-0.102481496,Bladder,GTEx
TNS1,-0.269587544,Bladder,GTEx
ARPC2,0.665459092,Bladder,GTEx
IRS1,0.431673823,Bladder,GTEx
INPP5D,0.526062711,Bladder,GTEx
ILKAP,-0.237716687,Bladder,GTEx
ANKRD28,0.813813311,Bladder,GTEx
ITGA9,-0.431460237,Bladder,GTEx
CTNNB1,0.513282171,Bladder,GTEx
RHOA,-0.500230395,Bladder,GTEx
PPM1M,0.091985537,Bladder,GTEx
NISCH,0.467414518,Bladder,GTEx
PRKCD,0.660516125,Bladder,GTEx
FLNB,0.503739665,Bladder,GTEx
MAGI1,0.613116208,Bladder,GTEx
CD47,0.715050387,Bladder,GTEx
ITGB5,-0.333139569,Bladder,GTEx
HEG1,-0.440461372,Bladder,GTEx
PLD1,0.620961285,Bladder,GTEx
ECT2,-0.017927037,Bladder,GTEx
PIK3CA,0.466524717,Bladder,GTEx
LPP,-0.190792297,Bladder,GTEx
DLG1,0.390134281,Bladder,GTEx
ADD1,0.529516401,Bladder,GTEx
SHROOM3,0.522644496,Bladder,GTEx
ARHGAP24,-0.148428414,Bladder,GTEx
GAB1,0.452713472,Bladder,GTEx
RAPGEF2,0.741536552,Bladder,GTEx
PALLD,-0.035083094,Bladder,GTEx
CASP3,0.763710733,Bladder,GTEx
SORBS2,0.358060079,Bladder,GTEx
FAT1,0.733539506,Bladder,GTEx
EXOC3,0.373294645,Bladder,GTEx
CTNND2,-0.171928833,Bladder,GTEx
TRIO,0.689482193,Bladder,GTEx
CDH18,0.927167587,Bladder,GTEx
CDH12,0.42819811,Bladder,GTEx
CDH10,0.890378653,Bladder,GTEx
CDH9,-0.411235965,Bladder,GTEx
CDH6,-0.15555088,Bladder,GTEx
PDZD2,0.428393874,Bladder,GTEx
ITGA1,-0.276979003,Bladder,GTEx
ITGA2,-0.170914947,Bladder,GTEx
PDE4D,-0.046166138,Bladder,GTEx
RASA1,0.866339532,Bladder,GTEx
FER,0.150393891,Bladder,GTEx
PPP2CA,0.61792245,Bladder,GTEx
CTNNA1,0.479853326,Bladder,GTEx
DIAPH1,0.338521757,Bladder,GTEx
ARHGAP26,0.514998114,Bladder,GTEx
DBN1,-0.614652223,Bladder,GTEx
NEDD9,0.383810281,Bladder,GTEx
RNF5,0.235235542,Bladder,GTEx
DEF6,0.407324662,Bladder,GTEx
CD2AP,0.473506132,Bladder,GTEx
MYO6,0.678035638,Bladder,GTEx
FYN,-0.070196432,Bladder,GTEx
MARCKS,0.736935511,Bladder,GTEx
PTPRK,0.729404593,Bladder,GTEx
EZR,0.755248102,Bladder,GTEx
GNA12,-0.312191856,Bladder,GTEx
ACTB,-0.380405682,Bladder,GTEx
FSCN1,0.103709267,Bladder,GTEx
RAC1,0.696606012,Bladder,GTEx
ITGB8,-0.317893983,Bladder,GTEx
ELMO1,0.00031357,Bladder,GTEx
EGFR,0.544953471,Bladder,GTEx
LIMK1,-0.082819182,Bladder,GTEx
HSPB1,-0.207709138,Bladder,GTEx
PTPN12,-0.188687822,Bladder,GTEx
KRIT1,0.668879265,Bladder,GTEx
TRIP6,0.624427825,Bladder,GTEx
CBLL1,0.068254039,Bladder,GTEx
TES,-0.092832072,Bladder,GTEx
CAV1,-0.564988025,Bladder,GTEx
MET,0.433812056,Bladder,GTEx
WASL,0.789866124,Bladder,GTEx
ZYX,-0.383229849,Bladder,GTEx
KCNH2,0.053027867,Bladder,GTEx
DLC1,-0.195916977,Bladder,GTEx
SORBS3,0.019014162,Bladder,GTEx
PTK2B,0.585157812,Bladder,GTEx
ADAM9,0.46998408,Bladder,GTEx
LYN,-0.666045785,Bladder,GTEx
SDCBP,-0.086573969,Bladder,GTEx
PABPC1,0.907246586,Bladder,GTEx
PTK2,0.663455066,Bladder,GTEx
SCRIB,0.889856545,Bladder,GTEx
PLEC,0.251077999,Bladder,GTEx
SHARPIN,0.176019323,Bladder,GTEx
TESK1,0.272842258,Bladder,GTEx
TLN1,0.258126439,Bladder,GTEx
TJP2,0.913505954,Bladder,GTEx
OSTF1,0.404564551,Bladder,GTEx
SYK,-0.140519861,Bladder,GTEx
SPTLC1,0.833906537,Bladder,GTEx
CORO2A,-0.050132812,Bladder,GTEx
ENG,-0.12380613,Bladder,GTEx
ABL1,-0.200430636,Bladder,GTEx
RAPGEF1,-0.132955641,Bladder,GTEx
VAV2,0.528916882,Bladder,GTEx
ITGA8,0.255961681,Bladder,GTEx
VIM,-0.165924617,Bladder,GTEx
ARHGAP21,0.527711916,Bladder,GTEx
ABI1,0.809613265,Bladder,GTEx
MPP7,0.397042665,Bladder,GTEx
SVIL,0.278662097,Bladder,GTEx
ARHGAP12,0.816640144,Bladder,GTEx
ITGB1,-0.078421481,Bladder,GTEx
NRP1,-0.237983944,Bladder,GTEx
PARD3,0.154250054,Bladder,GTEx
MAPK8,0.350387096,Bladder,GTEx
ANK3,0.407519195,Bladder,GTEx
CTNNA3,-0.632741082,Bladder,GTEx
VCL,-0.042492864,Bladder,GTEx
DLG5,0.832615886,Bladder,GTEx
LDB3,-0.031537423,Bladder,GTEx
PTEN,0.554434927,Bladder,GTEx
SORBS1,-0.485410219,Bladder,GTEx
ADAM12,0.032874194,Bladder,GTEx
DOCK1,0.886239103,Bladder,GTEx
HRAS,0.294699921,Bladder,GTEx
CD151,-0.512638767,Bladder,GTEx
ILK,-0.222312086,Bladder,GTEx
PARVA,-0.155750473,Bladder,GTEx
PLEKHA7,-0.041978181,Bladder,GTEx
PTPRJ,0.157188204,Bladder,GTEx
CTNND1,0.744191816,Bladder,GTEx
LPXN,0.363798257,Bladder,GTEx
SLC3A2,0.177906335,Bladder,GTEx
FERMT3,-0.053855647,Bladder,GTEx
CAPN1,0.688582334,Bladder,GTEx
CFL1,-0.778438315,Bladder,GTEx
CORO1B,0.810292191,Bladder,GTEx
PPFIA1,0.33404517,Bladder,GTEx
CTTN,0.712449914,Bladder,GTEx
INPPL1,-0.126478192,Bladder,GTEx
MYO7A,0.755468741,Bladder,GTEx
PAK1,0.647809848,Bladder,GTEx
RDX,-0.061031228,Bladder,GTEx
LAYN,-0.472381212,Bladder,GTEx
CBL,-0.030468023,Bladder,GTEx
THY1,-0.47518337,Bladder,GTEx
ARHGEF12,0.7874838,Bladder,GTEx
ARHGAP32,0.625170772,Bladder,GTEx
PTPN6,0.46238965,Bladder,GTEx
PTPRO,0.37751769,Bladder,GTEx
TUBA1B,-0.645075018,Bladder,GTEx
RACGAP1,-0.037331269,Bladder,GTEx
LIMA1,0.668831949,Bladder,GTEx
ITGB7,0.393312253,Bladder,GTEx
ITGA5,-0.300063868,Bladder,GTEx
ITGA7,-0.279967406,Bladder,GTEx
LRP1,0.368563872,Bladder,GTEx
AGAP2,0.687018254,Bladder,GTEx
LIN7A,-0.008476145,Bladder,GTEx
VEZT,0.232600443,Bladder,GTEx
SSH1,0.194255563,Bladder,GTEx
TRPV4,0.034085905,Bladder,GTEx
GIT2,0.507584538,Bladder,GTEx
PTPN11,-0.140391517,Bladder,GTEx
PXN,0.486958385,Bladder,GTEx
CLIP1,-0.002671377,Bladder,GTEx
STARD13,-0.194204528,Bladder,GTEx
TRPC4,-0.406398086,Bladder,GTEx
LMO7,0.654436502,Bladder,GTEx
ARHGEF7,0.853518229,Bladder,GTEx
MMP14,0.734398164,Bladder,GTEx
CDH24,0.400163324,Bladder,GTEx
PRKD1,-0.036900383,Bladder,GTEx
ARHGAP5,0.386303833,Bladder,GTEx
ARF6,0.520285727,Bladder,GTEx
FERMT2,-0.375838768,Bladder,GTEx
KTN1,0.611652864,Bladder,GTEx
AKAP5,0.408886589,Bladder,GTEx
HSPA2,0.002540162,Bladder,GTEx
ACTN1,-0.295471741,Bladder,GTEx
PSEN1,0.817044073,Bladder,GTEx
NUMB,0.27313848,Bladder,GTEx
DYNC1H1,0.130067287,Bladder,GTEx
ZFYVE21,0.312038311,Bladder,GTEx
AKT1,-0.105825134,Bladder,GTEx
TJP1,0.459452597,Bladder,GTEx
TRPM7,0.175277152,Bladder,GTEx
CGNL1,0.219329007,Bladder,GTEx
ADAM10,0.601940109,Bladder,GTEx
ITGA11,0.358251537,Bladder,GTEx
CSK,0.045487037,Bladder,GTEx
PEAK1,0.515709472,Bladder,GTEx
CIB2,0.167153308,Bladder,GTEx
CIB1,0.491142665,Bladder,GTEx
IQGAP1,0.598790129,Bladder,GTEx
SYNM,-0.264448379,Bladder,GTEx
MAPK8IP3,0.894596187,Bladder,GTEx
PKD1,0.025653139,Bladder,GTEx
PDPK1,0.093802113,Bladder,GTEx
NUDT16L1,0.409190048,Bladder,GTEx
SH2B1,0.850617055,Bladder,GTEx
ITGAL,0.407309317,Bladder,GTEx
ITGAM,-0.598494686,Bladder,GTEx
ITGAX,-0.612259482,Bladder,GTEx
ITGAD,0.46879095,Bladder,GTEx
TGFB1I1,-0.318268356,Bladder,GTEx
CDH8,0.223380718,Bladder,GTEx
CDH11,0.3209544,Bladder,GTEx
CDH5,-0.25418687,Bladder,GTEx
CDH3,0.488682593,Bladder,GTEx
CDH1,0.433058975,Bladder,GTEx
BCAR1,-0.167496422,Bladder,GTEx
CDH15,0.548583307,Bladder,GTEx
CRK,-0.315080138,Bladder,GTEx
ITGAE,0.505500521,Bladder,GTEx
PFN1,-0.684713682,Bladder,GTEx
NDEL1,-0.023962076,Bladder,GTEx
MYH10,0.533895706,Bladder,GTEx
GIT1,0.465677854,Bladder,GTEx
SRCIN1,0.295748019,Bladder,GTEx
LASP1,0.395377032,Bladder,GTEx
GRB7,0.291137486,Bladder,GTEx
WIPF2,0.846760423,Bladder,GTEx
JUP,0.484336504,Bladder,GTEx
STAT3,-0.228247248,Bladder,GTEx
ITGB3,-0.201907997,Bladder,GTEx
ABI3,-0.277187997,Bladder,GTEx
ITGA3,-0.179591929,Bladder,GTEx
NME1,-0.421049562,Bladder,GTEx
PRKCA,0.602523924,Bladder,GTEx
GRB2,-0.352917757,Bladder,GTEx
ITGB4,0.589702633,Bladder,GTEx
SLC16A3,0.552941857,Bladder,GTEx
MYOM1,0.091917802,Bladder,GTEx
PTPRM,0.806439565,Bladder,GTEx
PTPN2,0.507550026,Bladder,GTEx
ROCK1,0.07234892,Bladder,GTEx
CDH2,-0.529966144,Bladder,GTEx
CDH20,0.738268644,Bladder,GTEx
CDH7,-0.206372148,Bladder,GTEx
CDH19,-0.201939945,Bladder,GTEx
PIP5K1C,0.302432778,Bladder,GTEx
VAV1,0.162649877,Bladder,GTEx
INSR,0.43487302,Bladder,GTEx
RAVER1,0.370509727,Bladder,GTEx
KEAP1,0.266739827,Bladder,GTEx
DNM2,0.730670188,Bladder,GTEx
CALR,0.106968406,Bladder,GTEx
PRKACA,-0.149415963,Bladder,GTEx
SIPA1L3,0.684582446,Bladder,GTEx
ACTN4,0.125956757,Bladder,GTEx
CEACAM1,0.30770461,Bladder,GTEx
PLAUR,0.054164791,Bladder,GTEx
PVR,-0.628782463,Bladder,GTEx
VASP,-0.551339679,Bladder,GTEx
ARHGAP35,0.222761627,Bladder,GTEx
CYTH2,0.896564909,Bladder,GTEx
PTPRH,0.243738987,Bladder,GTEx
CSNK2A1,0.768207313,Bladder,GTEx
SIRPA,0.176534232,Bladder,GTEx
PTPRA,0.769399723,Bladder,GTEx
PRNP,-0.030217611,Bladder,GTEx
FERMT1,0.671456837,Bladder,GTEx
SRC,0.806132754,Bladder,GTEx
PLCG1,-0.215880367,Bladder,GTEx
PTPRT,0.599806669,Bladder,GTEx
SDC4,0.62815227,Bladder,GTEx
CDH22,-0.456558271,Bladder,GTEx
PTPN1,0.351175642,Bladder,GTEx
CASS4,0.107281178,Bladder,GTEx
CDH4,0.722766151,Bladder,GTEx
TIAM1,0.356438982,Bladder,GTEx
ITGB2,0.14727059,Bladder,GTEx
ARVCF,0.143582951,Bladder,GTEx
CRKL,0.398272938,Bladder,GTEx
MAPK1,0.031701295,Bladder,GTEx
PPM1F,-0.422305702,Bladder,GTEx
